text,title,artist
Welcome to the “ STARLIGHT PARADE ”,スターライトパレード,SEKAI NO OWARI
星 が 降る 眠れ ない 夜 に,スターライトパレード,SEKAI NO OWARI
もう一度 連れ て 行っ て あの 世界 へ,スターライトパレード,SEKAI NO OWARI
眠れ ない 僕 たち は いつも 夢 の なか,スターライトパレード,SEKAI NO OWARI
太陽 が 沈む 頃 僕ら は また 一 人 だ ね,スターライトパレード,SEKAI NO OWARI
僕 の 一つ の 願い は 綺麗 な 星空 に,スターライトパレード,SEKAI NO OWARI
また 消え て いく ん だ,スターライトパレード,SEKAI NO OWARI
Welcome to the “ STARLIGHT PARADE ”,スターライトパレード,SEKAI NO OWARI
星 が 降る 眠れ ない 夜 に,スターライトパレード,SEKAI NO OWARI
僕 たち を 連れ て 行っ た あの 世界,スターライトパレード,SEKAI NO OWARI
Please take me the “ STARLIGHT PARADE ”,スターライトパレード,SEKAI NO OWARI
星 が 降る 眠れ ない 夜 に,スターライトパレード,SEKAI NO OWARI
もう一度 連れ て 行っ て あの 世界 へ,スターライトパレード,SEKAI NO OWARI
時間 が 止まっ た よう な あの 夜 も,スターライトパレード,SEKAI NO OWARI
笑っ て た 君 は もう ここ に は い ない ん だ ね,スターライトパレード,SEKAI NO OWARI
聖なる 夜 に “ world requiem ” を 謳う と,スターライトパレード,SEKAI NO OWARI
星 に 願う ん だ,スターライトパレード,SEKAI NO OWARI
Welcome to the “ STARLIGHT PARADE ”,スターライトパレード,SEKAI NO OWARI
星 が 降る 眠れ ない 夜 に,スターライトパレード,SEKAI NO OWARI
僕 たち を 連れ て 行っ た あの 世界,スターライトパレード,SEKAI NO OWARI
Please take me the “ STARLIGHT PARADE ”,スターライトパレード,SEKAI NO OWARI
星 が 降る 眠れ ない 夜 に,スターライトパレード,SEKAI NO OWARI
もう一度 連れ て 行っ て あの 世界 へ,スターライトパレード,SEKAI NO OWARI
Welcome to the “ STARLIGHT PARADE ”,スターライトパレード,SEKAI NO OWARI
星 が 降る 眠れ ない 夜 に,スターライトパレード,SEKAI NO OWARI
僕 たち を 連れ て 行っ た あの 世界,スターライトパレード,SEKAI NO OWARI
僕 たち は 探し て いく ん だ,スターライトパレード,SEKAI NO OWARI
夜空 の 星 が 射す 方 へ,スターライトパレード,SEKAI NO OWARI
もう 君 が い なく なっ た この 世界 で,スターライトパレード,SEKAI NO OWARI
それ は まるで 僕 たち の 文明 が 奪っ た,スターライトパレード,SEKAI NO OWARI
夜空 の 光 の 様 に,スターライトパレード,SEKAI NO OWARI
空 は 青く 澄み渡り 海 を 目指し て 歩く,RPG,SEKAI NO OWARI
